equipe1;equipe2;but1;but2;vict1;null;vict2
Lorient;Saint-Étienne;6;2;2.38;3.2;3.1
PSG;Lorient;5;1;1.16;6.6;11.0
OlympiqueLyonnais;AngersSCO;3;2;1.4;4.75;8.0
Troyes;Reims;1;0;2.55;3.1;3.0
Saint-Étienne;OlympiqueMarseille;2;4;3.68;3.42;2.11
Montpellier;Brest;1;2;2.15;3.4;3.4
Metz;Monaco;1;2;6.1;3.95;1.57
Clermont;Nantes;2;3;2.65;3.2;2.75
Strasbourg;Lens;1;0;2.2;3.3;3.4
Lille;Bordeaux;0;0;1.5;4.2;6.5
Nice;Rennes;1;1;3.1;3.3;2.3
OlympiqueMarseille;Nice;2;1;1.95;3.87;3.96
Reims;OlympiqueLyonnais;0;0;3.85;3.63;1.92
Rennes;Metz;6;1;1.2;6.3;13.43
Lorient;Strasbourg;0;0;3.17;3.47;2.39
Bordeaux;Montpellier;0;2;2.75;3.77;2.55
AngersSCO;Brest;1;0;2.22;3.44;3.55
Monaco;PSG;3;0;3.2;3.87;2.21
Nantes;Lille;0;1;3.29;2.7;2.63
Lens;Clermont;3;1;1.68;3.55;5.4
Saint-Étienne;Troyes;1;1;1.93;3.55;3.7
Brest;OlympiqueMarseille;1;4;3.4;3.1;2.23
OlympiqueLyonnais;Rennes;2;4;2.1;3.4;3.35
Metz;Lens;0;0;3.3;3.45;2.05
Clermont;Lorient;0;2;2.35;2.7;3.6
AngersSCO;Reims;0;1;2.25;2.8;3.65
Strasbourg;Monaco;1;0;2.45;2.95;3.1
PSG;Bordeaux;3;0;1.12;7.5;19.0
Troyes;Nantes;1;0;2.68;3.36;2.89
Montpellier;Nice;0;0;2.8;3.4;2.2
Lille;Saint-Étienne;0;0;1.65;4.02;5.15
OlympiqueMarseille;Monaco;0;1;2.35;3.25;3.16
Lille;Clermont;4;0;1.72;3.6;5.24
Rennes;AngersSCO;2;0;1.43;4.6;7.5
Bordeaux;Troyes;0;2;2.3;3.3;3.15
Reims;Strasbourg;1;1;3.4;3.15;2.3
Nantes;Montpellier;2;0;2.15;3.35;3.55
Saint-Étienne;Metz;1;0;2.0;3.25;4.1
Nice;PSG;1;0;4.0;4.2;1.7
